,Package_name,nationality,GENDER,rev_voice_total,rev_sms_total,rev_on_net,rev_off_net,Rev_international_call,rev_fix,rev_sms_int,rev_total,SMS_INCOMING_COUNT,Data_kb,Rch_count_Voucher,Rch_Voucher_Rev,Act_days_lcl_moc,Act_days_intl_moc,Act_days_All_moc,Act_days_MTC,Act_Days_RGE,ACT_DAYS_VCE_MOC_ONNET,ACT_DAYS_VCE_MOC_OFFNET,SN_STC_MOC,SN_ZAIN_MOC,SN_VIRGIN_MOC,SN_LEBARA_MOC,SN_STC_MTC,SN_ZAIN_MTC,SN_VIRGIN_MTC,SN_LEBARA_MTC,SN_TOTAL_MOC,SN_TOTAL_MTC,in_Discunnect_Numbers,churned,days_since_last_recharge,hours_since_last_recharge,Brith_of_date_monthday,Brith_of_date_weekday,Brith_of_date_month,Brith_of_date_year,last_date_of_Revenue_monthday,last_date_of_Revenue_weekday,last_date_of_Revenue_month,Last_call_date_monthday,Last_call_date_weekday,Last_call_date_month,last_Recharge_date_monthday,last_Recharge_date_weekday,last_Recharge_date_month,last_Recharge_date_year,activation_date_monthday,activation_date_weekday,activation_date_month,activation_date_year
rev_total,0.031145182903906873,0.005542816561428161,-0.007468886671368403,0.9999848345984064,0.8222868348187247,0.47968557224859093,0.5301399236541785,0.8222868348186483,-0.10241770669488162,0.8222868348186543,1.0,0.37857562697394553,-0.28825581756784285,-0.049373280760982304,-0.049373280760980055,0.12232214879263097,0.7937227346405901,0.12232214879263119,-0.08374320037929747,-0.09011435350816886,-0.03165964350555067,0.3133796874747147,0.36980176701266637,0.4025710998904068,-0.1763847953809852,-0.19776982339744711,0.4015404877906929,0.4025710998904095,-0.17638479538098262,-0.19776982339744975,0.2988644594766257,0.2608749915894485,0.044289810297218284,-0.08069249924100555,-0.12095833499226023,-0.12095833499226023,-0.040750605336810346,-0.25976128379286406,-0.3223410359408532,-0.04916542315199697,0.018739700702495664,-0.0730591707202762,0.459543157997641,0.07168022117252874,0.15229391975222553,0.4363781521557832,-0.16459560009347154,0.4608795145774211,-0.23881214446926902,-0.2455940638186971,-0.4833407003339982,0.6321757955989489,-0.08484835403049573,0.029628474731546922
SMS_INCOMING_COUNT,0.04007196429917541,0.008229527429058938,-0.01272293157012143,0.37931573300115085,0.23422910070426542,0.3044081554857969,0.31220774003878454,0.23422910070420128,0.1999951554837076,0.23422910070420486,0.37857562697394553,1.0,0.3508172063291065,0.09957361469350115,0.09957361469350606,0.5189909789140865,0.27303163485288395,0.5189909789140864,-0.10246853703989793,-0.11464562730086299,0.44393117065524945,0.4262111826844844,0.43748541262992413,0.3118061866497774,-0.013352578801799004,-0.1786773575392779,0.42340086112640346,0.3118061866497709,-0.013352578801798645,-0.17867735753927746,0.39493503495426097,0.3428994289523012,0.04105274469934275,0.016703341236239854,-0.37450996390276897,-0.374509963902769,0.2992898265113366,-0.3654786226499606,-0.4703147178113112,0.4052636020437997,0.22047069349937176,-0.10083394107895152,0.40693109683037293,0.39248245810282684,0.32658164570577025,0.4654224696846668,-0.027530456816457813,0.22469578746869237,-0.19878580489920186,-0.2584468932548004,-0.20628723471348878,0.33598032632128105,0.5174495987174761,0.398880141647174
Data_kb,0.006681807539177983,0.003175603142293074,-0.003970863526694364,-0.28990054432656726,-0.06662707750483508,-0.3980458949790767,-0.4062102224539279,-0.06662707750484245,-0.093490172959205,-0.06662707750484269,-0.28825581756784285,0.3508172063291065,1.0,-0.012487810329342762,-0.012487810329340567,0.4295387120942352,-0.06583190408669211,0.4295387120942328,0.007441473937938274,0.0015347212369706618,0.6096153745285704,-0.006114175433405401,0.01870287027491059,-0.4325200801998272,-0.07235067811190812,-0.1177304754127054,-0.06171381741649865,-0.4325200801998398,-0.07235067811190773,-0.11773047541270688,0.08130919384809787,0.0541285827990784,-0.018156811932008576,0.1622943327424164,-0.09002411308339392,-0.09002411308339392,0.6972684981086688,-0.07604314864998987,-0.09021299197122161,0.4576323157387847,0.2509133425102748,-0.06428164527504768,-0.358264786570167,0.33085601149051896,0.13935565243171014,-0.21167766055606788,-0.011439639107172014,-0.5364020836746987,-0.19521096650674127,-0.20136746430201458,0.5441536514498954,-0.48548548762441684,0.8058578770246311,0.3577282066011862
Rch_count_Voucher,-0.014243151188413317,-0.005999373261681401,0.015028672778200062,-0.04965499426365929,-0.011412076369153175,-0.0681784391877365,-0.06957684854523764,-0.011412076369127248,-0.016013264179204692,-0.011412076369127014,-0.049373280760982304,0.09957361469350115,-0.012487810329342762,1.0,1.000000000000012,-0.01661482150395449,-0.012347626278824015,-0.01661482150395459,0.046288256219712026,0.04811740418752707,0.008898128029644419,-0.12127073887984229,-0.1169648574014792,-0.07670189428907356,-0.02658197813608697,-0.02980479757438189,-0.11067305897320903,-0.07670189428907405,-0.02658197813608705,-0.029804797574382244,-0.09901799389979059,-0.11502125954737842,-0.015409205804880605,-0.01216823609337323,-0.0182289624748941,-0.018228962474894105,-0.08506856917792531,0.18377438612541994,-0.02324996033259312,0.035687876371575736,0.03520208347913629,-0.011010344029556179,0.09035122985217728,0.04780455229800709,0.02386923466521209,0.08224123148806795,0.16727557432649645,0.031305732024291114,0.21045626745395996,0.1995001217898293,0.03200294204708597,-0.02287205084571959,-0.054838380289942174,0.12054200292598936
Rch_Voucher_Rev,-0.01424315118841298,-0.005999373261681505,0.015028672778198441,-0.049654994263656896,-0.01141207636915729,-0.06817843918772573,-0.06957684854522674,-0.01141207636913125,-0.016013264179208158,-0.01141207636913101,-0.049373280760980055,0.09957361469350606,-0.012487810329340567,1.000000000000012,1.0,-0.01661482150394779,-0.012347626278828875,-0.016614821503947975,0.04628825621970672,0.04811740418752033,0.008898128029648336,-0.12127073887983361,-0.11696485740147013,-0.07670189428906424,-0.026581978136093407,-0.029804797574387393,-0.11067305897319689,-0.07670189428906407,-0.02658197813609336,-0.02980479757438725,-0.09901799389978257,-0.11502125954737104,-0.015409205804884165,-0.012168236093371736,-0.018228962474897567,-0.01822896247489757,-0.08506856917791884,0.18377438612541122,-0.023249960332596166,0.03568787637158121,0.035202083479143546,-0.011010344029554904,0.090351229852182,0.047804552298015175,0.02386923466521687,0.08224123148807344,0.16727557432648632,0.03130573202429664,0.21045626745395662,0.19950012178982662,0.032002942047079305,-0.022872050845712536,-0.054838380289936865,0.12054200292598544
Act_days_lcl_moc,0.04752500751467064,0.01137898900907611,-0.020526419241044768,0.12443747650236205,-0.11818532462730039,0.39956946962482376,0.39116760861486266,-0.11818532462736453,-0.23087561512783844,-0.11818532462736583,0.12232214879263097,0.5189909789140865,0.4295387120942352,-0.01661482150395449,-0.01661482150394779,1.0,-0.10310517920560659,1.0000000000000098,-0.13571163808905848,-0.14875671931199938,0.9425774274812941,0.8493475886259886,0.797590232867503,0.4930322215791245,0.2645408803470555,0.2966140197891684,0.7423898882116373,0.4930322215791172,0.26454088034705675,0.29661401978916657,0.9039557372412099,0.8858790104413031,0.054408346687963655,0.010334147087146585,0.1814126005308553,0.18141260053085534,0.4291734382719247,-0.7039582829664316,-0.48950910397309827,0.5581327089480935,0.37299421503378855,-0.1922038585569065,0.3898008114909213,0.5555732396046849,0.4021533895224885,0.5131292655652685,-0.1260017647494369,0.28616021205035325,-0.30058513478769305,-0.34096360700035977,-0.31464144514692266,0.33333643746884317,0.4452340661278414,0.5471236622870455
Act_days_intl_moc,-0.02027294276853887,-0.005920747751554666,0.01653293428267287,0.7906083526929963,0.9732341024863576,-0.11313901515036384,-0.056799358507238024,0.9732341024863662,-0.026573282699969003,0.9732341024863524,0.7937227346405901,0.27303163485288395,-0.06583190408669211,-0.012347626278824015,-0.012347626278828875,-0.10310517920560659,1.0,-0.10310517920560651,0.07084519469363922,0.07528593897500206,-0.06523249231350835,-0.13407446188229008,-0.13205589340862978,-0.0988094262376234,-0.044111582237676764,-0.04945970433610216,-0.13197475331175862,-0.09880942623762513,-0.044111582237676694,-0.04945970433610238,-0.09563984395793071,-0.14480671778894855,-0.021296173873064574,-0.02019263368483012,-0.030250133124109475,-0.030250133124109478,-0.14725111403590183,0.11076745045128605,-0.06518845641027222,-0.09816200364754718,-0.20546266917358263,-0.018271164532537607,-0.008743835899316427,-0.2215546088704604,0.039609907979552585,0.012540109820795864,0.11683514932433223,-0.04083211977514553,-0.060339990776760846,-0.061892825768980295,0.05446701576087107,0.11086063857233647,-0.020310455147718773,0.1586472858944204
Act_days_All_moc,0.04752500751467114,0.0113789890090762,-0.020526419241044907,0.12443747650236214,-0.11818532462730043,0.39956946962482515,0.3911676086148651,-0.11818532462736474,-0.23087561512784155,-0.11818532462736506,0.12232214879263119,0.5189909789140864,0.4295387120942328,-0.01661482150395459,-0.016614821503947975,1.0000000000000098,-0.10310517920560651,1.0,-0.13571163808905898,-0.14875671931199785,0.9425774274812742,0.8493475886260022,0.7975902328675031,0.493032221579127,0.26454088034705797,0.29661401978917123,0.7423898882116262,0.49303222157912485,0.2645408803470552,0.29661401978916824,0.9039557372412235,0.8858790104413058,0.054408346687963946,0.01033414708714648,0.18141260053085662,0.18141260053085664,0.429173438271922,-0.7039582829664356,-0.4895091039730928,0.5581327089480955,0.3729942150337955,-0.19220385855690938,0.38980081149093093,0.5555732396046881,0.4021533895224924,0.5131292655652661,-0.1260017647494374,0.2861602120503599,-0.3005851347876856,-0.34096360700035744,-0.31464144514692044,0.33333643746884273,0.44523406612784466,0.547123662287037
Act_days_MTC,-0.24816220558854774,-0.022892168954853624,0.002159728590285299,-0.08503020625955236,0.06425705424696067,-0.2456003346368111,-0.24288733295023407,0.06425705424702732,0.0636114096930085,0.06425705424702846,-0.08374320037929747,-0.10246853703989793,0.007441473937938274,0.046288256219712026,0.04628825621970672,-0.13571163808905848,0.07084519469363922,-0.13571163808905898,1.0,0.7222159157601401,-0.062969343096527,-0.201731591668814,-0.23377398514398054,-0.2072250550116313,0.10518425635580286,0.10685036600503453,-0.2427606308888253,-0.20722505501163216,0.10518425635580322,0.10685036600503525,-0.18561672340597749,-0.18832625685927631,-0.13093511534071994,-0.0005724766089474597,0.06592788561817266,0.06592788561817267,-0.10747879230321473,0.1768220164505501,0.10278099300070251,-0.06296204006887815,-0.1351830762303799,-0.011786054227031093,-0.16309230617049456,-0.14810853755275563,-0.07941930006688451,-0.14417845104363045,0.1835445176471342,-0.16645475128612883,0.12376712362681856,0.12160134923095434,0.18974286313598868,-0.18315830008818618,-0.06073832996549174,0.06452193915208541
Act_Days_RGE,-0.2229207879518306,-0.00565705519757467,0.008750137879651308,-0.09148935931633956,0.06812118532206045,-0.2628002618431418,-0.2598519427709861,0.06812118532214011,0.0729682540548289,0.06812118532214041,-0.09011435350816886,-0.11464562730086299,0.0015347212369706618,0.04811740418752707,0.04811740418752033,-0.14875671931199938,0.07528593897500206,-0.14875671931199785,0.7222159157601401,1.0,-0.07177492472304087,-0.21727609925964916,-0.2518328744451436,-0.2218998624286585,0.1128761705836758,0.11659019392565081,-0.26118058118670634,-0.22189986242866264,0.11287617058367666,0.1165901939256533,-0.2000724680039949,-0.20238145394166984,-0.06350263244536831,-0.001557465208991766,0.07574761539644294,0.07574761539644294,-0.11876006161848815,0.1899458452701264,0.11367205185260477,-0.06786886840781525,-0.14992645163323853,-0.01213596414766278,-0.17330115443416044,-0.1646321052117419,-0.08762517921302758,-0.15345955875392675,0.20230733709959303,-0.17536608954450664,0.1385693669821641,0.13550239431375954,0.20126241654042334,-0.19641424585856762,-0.07265331546732123,0.06684672124669923
